description,review_majority,food_aspect_majority,ambiance_aspect_majority,service_aspect_majority,noise_aspect_majority,cleanliness,price,location,menu variety,waiting time,waiting area,parking,wi-fi,kids-friendly
Overbooked but honored our reservations and we didnt have to go on wait list with walk INS.,no majority,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown
"I was really impressed with the meal. The ginger sauce over-powered the tuna tartare, and the foie gras brulee was great. The waiter also was not very helpful with selecting the wine.",no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Good food but service needs some tweaking. Good drink deals and appetizer deals. Quiet and intimate.,4,Positive,unknown,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"There are better places to eat in he North End, like Marco and it is way too loud in here too.",2,Negative,no majority,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I was not pleased. This venue does not accept AMERICAN EXPRESS GIFT CHEQUES!!! That is rediculous. This medium is the same as CASH. At least the server was nice,2,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We went for a nice lunch. It was way to expensive for the food we received and the portion size. The food was bad and nothing special. Also, the menu was too limited. $21 for a chicken leg? Come on.",1,Negative,unknown,unknown,unknown,unknown,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown
"We loved our lunch at Chops. The food selection and presentation was wonderful, but our waiter was rude.",4,Positive,unknown,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
The quality of the food and the service is always inconsistent.,no majority,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We go here often.  At a higher level than most high end restaurants.,4,unknown,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"Food was overpriced and bland,while the waiter was robot like and unfriendly. Place had a creepy vibe and smelled musty.",1,Negative,Negative,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The servings were minuscule for the outrageus price. The service was ok. We are not planning to come back anytime soon.,2,Negative,unknown,no majority,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Disappointing. Food was fair at best and seem to lack seasoning or something to bring out the flavor.,2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
not italian at all this is a restaurant that hides under the italian name.The pizza was kind of mexican the spaghetti overcooked and the service rude,1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
No host to welcome us. Every loud with DJ music. Dj make it a turn off for dinning. Very unorganized with staff and order.,1,unknown,Negative,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We are regulars and I was a bit dissapointed with the service.. We had an 8 p.m. curtain to make and while we did I had to get up to go pay the bill. Gave a short tip.,no majority,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"It was good. I asked for steamed lobster and received backed stuffed. But it was still good (I don't like to send things back). Our waiter was DREADFUL!
Thank you!
V Hall",no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Great all around service.,4,Positive,Negative,Positive,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown
"We didn't get seated for an hour after our booking time...No bar seating so stood around for an hour. People that came after us were seated before. Hard to like it after that! Despite this, it was still a comfortable volume for our meal.",no majority,unknown,unknown,Negative,Positive,unknown,unknown,Negative,unknown,Negative,Negative,unknown,unknown,unknown
"Our server was excellent. She could benefit with some professional training, however she had natural ability to please her customer!!! Loved her. the ambiance was great, a very chill environment.",no majority,unknown,Positive,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Excellent fresh seafood with imaginative pairings. Music was quite pleasant too.,5,Positive,unknown,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"I ordered steak with frites. The steak was good and  so were the fries, although not the typical French style. My starter salad was just solid.",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Bad food, but great for a crowd. Staff works hard to keep it under control.",3,Negative,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The service was not very good.I don't think we will be going back.,2,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Bouchon at the Venetian was a great time out in Vegas. Nice food, service.  Will definitely check out more of Keller's spots in California after a successful dinenr in Vegas.",5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
Won't be going back.,1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,Negative,Negative,Negative,unknown,unknown,unknown
"The service and food were excellent. It was just the right level of noise, to be able to have a conversation.",no majority,Positive,unknown,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Disappointed in the food...outrageous prices for the quality of the meal and the ambiance was lacking.,1,Negative,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Disappointing.,2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown
I had the lasagne and it was probably the worst lasagne I've ever had. I was very disappointed in the food. My waitress never offered me a drink refill. I'm not sure if I'll return to eat at Il Fornaio.,1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
None of us cared for the new menu. Service was fast. Noise level too high. They dropped the half-price bottles of wine. We will not be back for a while.,2,Negative,unknown,Positive,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown
Food was so so. Service was slow. At least the restaurant was quiet.,2,Negative,unknown,Negative,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"We were there for Easter...a typically very busy day.....it was busy, and Amanda handled it poorly.",no majority,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I have been to Maggiano's several times.,3,unknown,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,Positive
The salmon was too dry. The service was poor too.,2,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
service very slow. Lobster special not very good,no majority,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
The Menu is too narrow. We had a large table and our waiter had way too many tables to service properly and all the tables were packed together in a small space.,2,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
This restaurant was INCREDIBLY loud. The food was very good but we literally could not speak to each other. Service was pleasant among that. Don't ruin your night.,2,Positive,Negative,Positive,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
The restaurant was nice & the waiter was really good. The food was not very good for the price. The valet service was HORRIBLE & RUDE!! It was too loud to even think. We won't be returning.,2,Negative,Positive,Negative,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"My husband and I met a couple of friends for dinner, and had a wonderful evening. We will be dining there again, the atmosphere was the only downside.",4,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We went to the chocolate bar and it was so overpriced for what it was. The desserts were nothing special. Service was inattentive. It was though they were purchased at BJ's or Costco wholesale clubs.,2,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I wasn't impressed by the food relative to the price. There are definitely many other restaurants in Little Italy I would have rather eaten at,3,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Very nicely priced for the size of each entree. Food was very good.,5,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The only downside to this restaurant is that I wanted to try everything on the menu. The food was delicious but the staff wasn't friendly and helpful. I will definitely go again (and again).,no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Very crowded and loud.,1,unknown,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown
"The opposite of sister restaurant Molyvos, food was bland and ordinary, portions large and leaden, and sauces gloppy. The only thing decent was the service, but still would not go back even if weren't also so expensive.",no majority,Negative,unknown,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
