description,review_majority,food_aspect_majority,ambiance_aspect_majority,service_aspect_majority,noise_aspect_majority,cleanliness,price,location,menu variety,waiting time,waiting area,parking,wi-fi,kids-friendly
"Despite how nice he was, the teenage counter boy totally judged me when I ordered a double scoop right after devouring a cup of triple scoop. Not the best ice cream I've had and a little pricier than most places, but definitely good enough for my afternoon recess time when I just want to indulge in being fat and alone. Get: salted butter caramel, peanut butter chip, lavender, white rose, medjool date Add: toasted marshmallow, bacon brittle bits Try: everything (like I shamelessly did)",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
SO GOOD EVERYTHING ABOUT IT. Love the down town feel. You can tell the ice cream is homemade and the doughnuts too. They warm the doughnut and place the ice cream in a doughnut blanket all nice and cozy the bite is perfectly soft warm and cold,5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"Always delicious, got one scoop of the blue moon and it's unlike any flavor I've ever had! Very creamy, tastes like Froot Loops! Enjoy it by the lake outside to make your entire day!",5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,Positive,unknown,unknown,unknown,Positive
"These folks can get it right when it comes to Italian delights. It's not a cheap date but how does one value the heavenly tastes of freshly made Sfogliatella, aka 'lobster tail' filled with Crema Pasticcera?",5,Positive,unknown,unknown,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Make sure you take a number, there are no lines, just wait to be called out. The service is fairly quick. It was hoppin on a Saturday mid afternoon. The bakery items are descent, not fabulous. I've been here a few times and if you have a sweet tooth, it isn't bad, just not really memorable or in my opinion, worth the calories. Today I needed a quick counter service meal and ordered the vege Stromboli. I would not suggest coming here to eat. Looking at the food, nothing looked special or jumped out at me. I kinda wish I hadn't bothered. The menu board said the Stromboli had ""spinach mushrooms olives and roasted red peppers."" The olives were all together absent and the other three ingredients came from a freezer bag, can or jar. There was also a scant amount of ricotta cheese in there. It was blah.",2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown
"This place is super cool. Felt like I was in NYC vs downtown Phoenix. They have hip hop playing and a cool staff. They offer something for everyone. Ice cream, coffee, beer, wine, drinks, food, whatever you want. The beer selection is actually better than most bars I've been too and high end joints. Old Rasputin on nitro. What the pho? Great choice. I'd come back for sure and highly recommend!",5,Positive,Positive,Positive,Positive,Positive,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
I have come here now twice within just a few days. Amazing concept with ice cream inside the donut. Omg so good. The people that work here are so wonderful. I keep being my friends. Love it,5,Positive,unknown,Positive,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
This review is for 4.5 stars. Expensive all around but tasty and novel. Come here and just go fill out. Try the milkshakes the pie and the soft serve. Each will run you about $6-15 but well worth it. This will be the best version of whatever you order. We tried the crack pie and the cereal milk soft serve for $6.50 each and an additional $1.50 for the cereal crunch topping (necessary). The soft serves wee large enough for a nice after dinner dessert and they even give you samples of you ask before choosing the soft serve. Line can get log during peak but pretty fast service once ordered. The cereal milk is just so unique of an idea and deserves its infamy. Tastes as it sounds and if you let it melt drinks as it sounds. The crack pie is super buttery and just a very smooth and rich vanilla. Terrific flavors.,4,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,Positive,unknown,unknown,unknown,unknown
"Nothing like it! Original, posh & one-of-a-kind ice creamery ! Must visit! All the must have flavors and unique flavors you'll be fascinated to try all in the same place. Perfect date night spot!",5,Positive,Positive,unknown,unknown,Positive,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"We got the bacon cinnamon roll, caramel latte donut and the creme brulee donut. The creme brulee donut was normal sized, the cinnamon roll was just a little bigger than average, but thr caramel latte donut was huge. Even splitting them, we could not finish it all. To top it off, they came around and offered samples of the french toast donut. That sample made me wish we had gotten one of those for sure.",5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
