review,sentiment,acting,storyline,emotional arousal,cinematography,soundtrack,directing,background setting,editing
"This movie was so incredibly boring, Michael J. Fox could've done so much better. Sorry, but it's true for all you people who liked the movie",Negative,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown
"First things first, how can someone with his creativity on the right side believe in a movie like this. I saw this movie and after end of couple of hours was left scratching my head, what exactly is director trying to say.<br /><br />If its a thriller, there are no thrills, if its action, there is no action barring a chase sequence, there is no Drama, and the much touted love story, it actually never takes off. No passion, emotion nothing is there.<br /><br />Actually I never expected wonders from the movie, however after the bumper opening it took, I thought of giving it a chance. I have no problems with Himesh Reshamiya whatsoever, and I am not one of the guys who will bash him at every given opportunity. I went in with an Open mind and came out with a closed one.<br /><br />Let's not put the blame of Himesh Reshamiya, he is just a Debutant Actor. But direction, screenplay, writing, makeup, everything has gone for a toss.<br /><br />Himesh is very stiff and would take a lot of time to come up the curve. He can do the don kind of roles. Hansika is just a kid, and it shows on screen with her baby fat and the way she walks.<br /><br />The only actor who was good was the friend of Himesh in the movie, I don't know his name, but he looks promising.<br /><br />Watch it at your own risk, not even good to watch it for a time pass viewing.<br /><br />** Strongly recommend to avoid this Movie.**",Negative,Negative,Negative,Negative,unknown,unknown,Negative,unknown,unknown
"Put the film down and back slowly away. The acting rivals a highschool play, the plot is treadworn, and the production values are slightly higher than community theater. The goofs are so plentiful that it becomes a laugher. Rooms are switched around, the dead move, dogs are used for wolves, men shot point blank with .45 caliber pistols are able to walk and ride snowmobiles, blouses button and unbutton without human touch... this is a baaaaaaaaaddddddd movie. I nearly passed out when I saw the average rating. There is no accounting for taste. BTW, there is no nudity.",Negative,Negative,Negative,Negative,unknown,unknown,unknown,unknown,unknown
"I chose this movie really for my husband-who works in radio broadcasting. I thought that it would be more of a movie that he would enjoy and relate too, though it was from the eighties-so it was a little dated. This movie really draws you in. At times you just want to strangle the host, Barry. At times you just want to send some of the bigots who call in to a true concentration camp. At times you really feel sorry for Barry, because he has truly gotten too big for his jeans if you know what I mean. It was on the Drama channel on Encore-so I am thinking this is a true story. If you truly love dramas you will love this, even if you don't know all the ins and outs of the broadcasting business. If you are an Alec Baldwin fan and are watching it to see him, you shouldn't. His part is really a bit part in this movie.",Positive,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Got the chance to see this at a friend's house today, and was impressed with what it achieved on such a small budget. Not that this ever bothered me anyway, since I love low budget sci-fi like Dr Who, Blake's 7 and Dark Star. Hell, even Outland wasn't a big budget affair, so whilst money helps, it takes more than throwing cash at things to make them good.<br /><br />The story is straightforward at first, with a group of mercenaries paid to escort a prisoner through space. Their ship is attacked and they are forced to land on the nearest planet. They then discover the prisoner has made it too, he's a stone cold nut case and that's only the start of their problems.<br /><br />The effects, except for the gunfights, are minimalistic and add to the film without overwhelming it. Computer effects look a bit dodgy at times, but serve their purpose well and add to the story, lending a futuristic feel to the proceedings. Films like I, Robot could have benefited from this approach instead of being largely style over substance and substituting special effects for a plot, like all too many of Hollywood's offerings.<br /><br />Whilst none of the actors get Oscar material, it's tightly scripted and shot and at an hour and ten minutes doesn't outstay its welcome. The characters don't get fleshed out much, but then they didn't in Predator either, which it resembles in feel. Big man Mike Mitchell is a good stand in for Arnie and is a good combination of brains and brawn.<br /><br />Some people may be annoyed at the lack of explanation towards the end, but I like it. Unlike a lot of films and shows which leave things unexplained, it is not so obscure that you can't get a handle on it at all, and I'd like to see a sequel where the nature of the aliens is explored further.<br /><br />A cracking little film from an enterprising team, done on the cheap but a fun way to pass an hour. If this is what they can do on a shoestring I'd like to see what they would do with a bit more cash, and hope the film industry and the talentless armchair critics don't knock all the creativity out of them first.<br /><br />Recommended.",Positive,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"The banter and humorous rescue scene help to make this one of my favorites of the 14-movie series. Wonderful acting, great cast. And this movie contains one of the few oft-noted facts about Sean Bean's career. The part where he and Alice Krige fall off the horse into the water was not scripted but was left in since they both went right on acting after it happened.<br /><br />This is a good follow-up to the intense ending of Sharpe's Enemy.",Positive,Positive,Positive,Positive,unknown,unknown,Positive,unknown,unknown
"Oh, brother. The only reason this very irritating film avoids getting the total ""bomb"" from me is because it's at least historically noteworthy as the first Three Stooges film (when they weren't yet on their own and were still saddled with that painfully unfunny Ted Healy). But even as a longtime Stooges fan I'd have to say that young Moe, Larry and Curly are badly used here as three zany assistant janitors to Mr. Healy's taller boss janitor. They're not featured steadily through the movie and their silly on-and-off-again stints paint them more like zany overactive cartoon characters trying too hard to be amusing.<br /><br />Most of this toothache deals with Jack Pearl seeking in vain to get some chuckles from the audience himself as a man who impersonates Baron Munchausen (here's a good example of the level of humor: ""I object!"" ""On what grounds?"" ""Coffee grounds!""). His sidekick is none other than a young Jimmy Durante, but even the schnoz himself is a bore.",Negative,Negative,Negative,Negative,unknown,unknown,unknown,unknown,unknown
"I saw this on a Cantonese VCD with the English subtitles. I thought the story was good but there were times when some of the subcharacters were grossly over-acting. This took away from the film as did the fairly lame musical score, which really irked me throughout the entire movie. If the musical score was improved I could overlook the few overacted scenes. Then the film would be much, much better.",Positive,unknown,Positive,unknown,unknown,Negative,unknown,unknown,unknown
"And you'd be right. Black Mama, White Mama, also known as 'Women in Chains,' is exactly the kind of trashy and crappy b-movie that the premise suggests. Pam Grier has been thrown into a prison on a small island with a lot of other women, and this place seriously makes the summer camp where Martha Stewart is locked up right now look like a maximum-security prison. It's not five minutes into the movie that one of the hottie guards utters the line 'Strip 'em and get 'em wet,' and then we are introduced to a prison life that resembles some college freshman's fantasy of what the inside of a sorority house is like. <br /><br />The prisoners soap and rub and wrestle with each other in the shower like it's a Girls Gone Wild shoot, then they all hang out together in their dorm, openly smoking pot and discussing in a big group what would be the best ways to escape. I've never been to prison myself, but I have a feeling that escape plans are the kind of thing that you want as few people as possible to know about, prisoners or guards or otherwise. The biggest difference between this prison life and some fantasy sorority life is that the women in this movie all wear orange cardigans (and no pants. Go figure) that say PRISON on the back. Must be those generic prison outfits for prisons that can't afford pricey accessories like their prison name or prisoner numbers for their uniforms.<br /><br />And as is to be expected, a prison that can't afford to put prisoner identification on the backs of the uniforms can obviously not expect to be able to find guards that are interested in guarding the prisoners as much as they are in having sex with the prisoners and each other.<br /><br />The conflict of the movie's title refers to the fact that Lee Daniels (Pam Grier) spends much of the time handcuffed to a blonde prisoner named Karen as they are on the run from the cops after escaping from the prison. I won't go into details about how they escape except to say that you might have seen something like it in The Fugitive had they been unable to afford to stage a train wreck, and it leads into the muddled story of the conflicting interests also chasing these two women for different reasons. Karen and Lee both have their own gangs of people each hoping to rescue their respective escaped prisoner, and the cops are after both of them all the while.<br /><br />(spoilers) So Karen is involved with a bunch of hippies that want to Revolutionize Life As They Know It. Meanwhile, Karen just wants to get off the island, something she's been trying to do for years, and isn't it just perfect that they each need to go to completely opposite sides of the island in order to fulfill their goals. So we get this odd couple pairing and, since they are an odd couple, it's not hard to predict that they will hate each other for the vast majority of the film but grow fond of each other by the end.<br /><br />In a movie with so many conflicting interests, especially when those conflicting interests not only propel the two main characters in opposite directions as they pursue their goals, it is not unreasonable to expect that there will be a climactic moment involving the rival gangs at some point in the movie. Not about to leave anyone unsatisfied, they throw in a stupid gang standoff at the end of the movie, where everyone shoots machine guns at each other, killing each other en masse while the two women paddle safely and calmly across the river in a little boat. Nice. <br /><br />Even better, at the end of the movie, after a huge massacre in which lots of people get shot and spurt bright red paint all over the place, the Captain of the police looks over the masses of dead criminals covered in awful, awful special effects, and we learn that he will be a Major before dinner. Not a bad way to end the movie, the criminals all kill each other off and the cops get all the credit, but here is the last line in the film  'It's better to win, isn't it?' <br /><br />Is THAT why the Captain is going to get promoted to Major? Because he figured that out???",Negative,unknown,Negative,Negative,unknown,unknown,unknown,Negative,unknown
"Should have been titled 'Balderdash!' Little in the film is true except the name of the island and the fact submarines were involved. Little more than training film quality with poor camera work, muddy stock footage and perhaps the low point of stereotyping 'Japs' with laughing Japanese infantry, laughing Japanese fighter pilots and one-dimensional square-jawed Americans dying left and right. Sixty years later it is unintentionally funny as an odd artifact and as an opportunity to see what is possible when the war fever is upon you. The plot and the dialogue remind me of playing guns on a summer's afternoon in my childhood, peering through the neighbor's hedge to gain a fatal advantage on my best friend Steve and my little brother. In actual fact, the Makin Island raid was a near total failure with Carlson and his men wandering around in the dark exchanging gunfire with shadows until finally, thirsty and completely disoriented, looking for someone to surrender to, before they happened upon some equally confused Japanese soldiers who promptly surrendered to them! In the withdrawal several of Carlson's Marines ended up on another island and were abandoned! The film, of course, couldn't tell that story, not in 1943, so this bit of whimsy was fabricated and rushed into release to the beating of drums. With Randolph Scott, and his jaw, as Colonel Thorwald (Carlson) leading a unit comprised almost entirely of stock caricatures, the green recruit (Harry Landon, Robert Mitchum), the grizzled veteran (J. Carroll Naish, Milburn Stone, Sam Levene), the country-bumpkin (Rod Cameron), the all-American boy (Alan Curtis), and scores of sneering (when they weren't laughing) 'Japs'. And yet the cast nearly overcomes the material. Almost. Randolph Scott's narrow range is well suited to his role of earnest commander and he is supported by a solid group of professionals who do their best with thin gruel. But in the end, the one-note object of the exercise wins. Any pretense is totally abandoned at the close when Randy Scott simply looks directly into the camera and delivers a stirring (well sorta stirring) call to arms. The cast was better than this material. So was the audience. Should be viewed with Reefer Madness and a bottle of moderately priced Merlot.",Negative,unknown,Negative,Negative,Negative,unknown,Negative,Negative,Negative
